x,y,held,n_contact,f_slip_N,ratio_weight
-0.04,-0.04,0,4,,0.0
-0.04,-0.02,1,3,7.84,15.98
-0.04,0.0,1,4,1.86,3.79
-0.04,0.02,1,3,1.78,3.63
-0.04,0.04,1,4,1.58,3.22
-0.04,0.06,1,6,1.44,2.94
-0.04,0.08,1,5,1.44,2.94
-0.02,-0.04,0,4,,0.0
-0.02,-0.02,1,3,5.6,11.42
-0.02,0.0,1,4,1.88,3.83
-0.02,0.02,1,4,4.28,8.73
-0.02,0.04,1,6,1.74,3.55
-0.02,0.06,1,4,2.18,4.44
-0.02,0.08,1,3,1.8,3.67
0.0,-0.04,0,4,,0.0
0.0,-0.02,1,3,5.4,11.01
0.0,0.0,1,2,2.7,5.5
0.0,0.02,1,4,6.44,13.13
0.0,0.04,1,3,1.68,3.43
0.0,0.06,1,5,1.44,2.94
0.0,0.08,1,3,1.44,2.94
0.02,-0.04,0,4,,0.0
0.02,-0.02,1,4,11.38,23.2
0.02,0.0,1,3,2.2,4.49
0.02,0.02,1,3,2.7,5.5
0.02,0.04,1,3,1.76,3.59
0.02,0.06,1,3,1.46,2.98
0.02,0.08,1,3,1.46,2.98
0.04,-0.04,0,4,,0.0
0.04,-0.02,1,3,14.44,29.44
0.04,0.0,1,2,4.28,8.73
0.04,0.02,1,4,19.54,39.84
0.04,0.04,1,4,14.14,28.83
0.04,0.06,1,6,25.5,51.99
0.04,0.08,1,4,14.92,30.42
0.06,-0.04,0,4,,0.0
0.06,-0.02,1,2,6.12,12.48
0.06,0.0,1,3,2.06,4.2
0.06,0.02,1,3,1.7,3.47
0.06,0.04,1,2,1.6,3.26
0.06,0.06,1,2,1.44,2.94
0.06,0.08,1,3,1.44,2.94
0.08,-0.04,0,4,,0.0
0.08,-0.02,1,3,18.72,38.17
0.08,0.0,1,3,3.44,7.01
0.08,0.02,1,2,3.62,7.38
0.08,0.04,1,3,1.82,3.71
0.08,0.06,1,3,2.1,4.28
0.08,0.08,1,3,1.72,3.51
