group,label,ratio_median,ratio_min,ratio_max,fails,n_rep,n_contact_median,normal_force_median_N,f_slip_median_N,mu,scale,joint,delta
A形状,方块 3.0cm,3.26,3.02,3.47,0,5,3,0.49,1.6,,,,
A形状,方块 4.4cm,4.08,2.94,39.84,0,5,3,0.63,2.0,,,,
A形状,方块 5.5cm,5.18,4.65,7.26,0,5,3,12.87,2.54,,,,
A形状,方块 6.5cm,5.42,4.12,6.12,0,5,3,14.83,2.66,,,,
A形状,球 R2.2cm,44.04,28.09,46.56,0,5,3,91.52,21.6,,,,
A形状,球 R3.0cm,4.65,3.14,4.81,0,5,2,0.62,2.28,,,,
A形状,圆柱 立,4.28,4.12,12.07,0,5,4,0.52,2.1,,,,
A形状,圆柱 横,2.98,2.94,4.85,0,5,5,0.5,1.46,,,,
A形状,细杆 横,2.98,2.94,3.1,0,5,6,0.46,1.46,,,,
A形状,椭球,0.0,0.0,0.0,5,5,1,0.51,0.0,,,,
B摩擦,μ=0.05,4.0,3.63,4.36,0,5,5,0.66,1.96,0.05,,,
B摩擦,μ=0.1,4.0,3.63,4.36,0,5,5,0.66,1.96,0.1,,,
B摩擦,μ=0.2,4.0,3.63,4.36,0,5,5,0.66,1.96,0.2,,,
B摩擦,μ=0.3,4.08,3.67,4.16,0,5,5,1.19,2.0,0.3,,,
B摩擦,μ=0.5,3.87,3.83,4.08,0,5,4,3.99,1.9,0.5,,,
B摩擦,μ=0.8,5.67,4.2,9.62,0,5,3,0.54,2.78,0.8,,,
B摩擦,μ=1.2,4.08,2.94,39.84,0,5,3,0.63,2.0,1.2,,,
B摩擦,μ=1.6,4.08,3.91,7.26,0,5,3,2.77,2.0,1.6,,,
B摩擦,μ=2.0,4.12,3.22,92.19,0,5,2,0.79,2.02,2.0,,,
B摩擦,μ=3.0,9.95,3.75,122.32,0,5,3,0.56,4.88,3.0,,,
C幅度,×0.3,2.94,2.94,2.94,0,5,3,0.49,1.44,,0.3,,
C幅度,×0.5,2.94,2.94,3.02,0,5,3,0.46,1.44,,0.5,,
C幅度,×0.7,2.98,2.94,4.36,0,5,3,0.58,1.46,,0.7,,
C幅度,×0.85,2.94,2.94,3.71,0,5,3,0.6,1.44,,0.85,,
C幅度,×1.0,4.08,2.94,39.84,0,5,3,0.63,2.0,,1.0,,
C幅度,×1.15,19.9,13.9,20.63,0,5,2,0.53,9.76,,1.15,,
C幅度,×1.3,41.92,33.03,55.09,0,5,3,3.91,20.56,,1.3,,
C幅度,×1.5,66.75,45.26,73.72,0,5,5,136.5,32.74,,1.5,,
C幅度,×1.8,115.76,53.5,118.94,0,5,5,142.73,56.78,,1.8,,
B2夹紧后摩擦,μ=0.05,56.47,17.61,96.11,0,5,6,90.66,27.7,0.05,1.5,,
B2夹紧后摩擦,μ=0.1,56.47,17.61,96.11,0,5,6,90.66,27.7,0.1,1.5,,
B2夹紧后摩擦,μ=0.2,56.47,17.61,96.11,0,5,6,90.66,27.7,0.2,1.5,,
B2夹紧后摩擦,μ=0.3,66.3,34.86,75.39,0,5,6,56.04,32.52,0.3,1.5,,
B2夹紧后摩擦,μ=0.5,70.13,68.13,71.89,0,5,6,54.54,34.4,0.5,1.5,,
B2夹紧后摩擦,μ=0.8,62.06,41.1,71.48,0,5,6,73.56,30.44,0.8,1.5,,
B2夹紧后摩擦,μ=1.2,66.75,45.26,73.72,0,5,5,136.5,32.74,1.2,1.5,,
B2夹紧后摩擦,μ=1.6,65.69,0.0,81.35,1,5,5,231.15,32.22,1.6,1.5,,
B2夹紧后摩擦,μ=2.0,62.79,8.36,111.85,0,5,4,71.14,30.8,2.0,1.5,,
B2夹紧后摩擦,μ=3.0,80.24,58.27,122.32,0,5,4,78.57,39.36,3.0,1.5,,
B3横推摩擦,μ=0.05,46.69,21.9,55.94,0,5,6,90.66,22.9,0.05,1.5,,
B3横推摩擦,μ=0.1,46.69,21.9,55.94,0,5,6,90.66,22.9,0.1,1.5,,
B3横推摩擦,μ=0.2,46.69,21.9,55.94,0,5,6,90.66,22.9,0.2,1.5,,
B3横推摩擦,μ=0.3,47.18,41.96,50.76,0,5,6,56.04,23.14,0.3,1.5,,
B3横推摩擦,μ=0.5,45.91,43.55,46.73,0,5,6,54.54,22.52,0.5,1.5,,
B3横推摩擦,μ=0.8,54.88,44.4,63.65,0,5,6,73.56,26.92,0.8,1.5,,
B3横推摩擦,μ=1.2,68.95,57.04,111.15,0,5,5,136.5,33.82,1.2,1.5,,
B3横推摩擦,μ=1.6,77.76,0.0,122.32,1,5,5,231.15,38.14,1.6,1.5,,
B3横推摩擦,μ=2.0,74.7,20.22,106.34,0,5,4,71.14,36.64,2.0,1.5,,
B3横推摩擦,μ=3.0,90.44,59.98,122.32,0,5,4,78.57,44.36,3.0,1.5,,
D关节,if_mcp-0.3,5.95,4.77,8.15,0,5,3,2.23,2.92,,,if_mcp,-0.3
D关节,if_mcp+0.3,3.22,3.02,4.69,0,5,3,0.62,1.58,,,if_mcp,0.3
D关节,if_rot-0.3,5.83,4.04,29.48,0,5,3,8.99,2.86,,,if_rot,-0.3
D关节,if_rot+0.3,4.32,2.94,10.89,0,5,1,0.27,2.12,,,if_rot,0.3
D关节,if_pip-0.3,4.24,4.08,12.8,0,5,3,1.35,2.08,,,if_pip,-0.3
D关节,if_pip+0.3,4.24,3.06,28.87,0,5,2,0.56,2.08,,,if_pip,0.3
D关节,if_dip-0.3,4.08,4.0,7.91,0,5,3,0.85,2.0,,,if_dip,-0.3
D关节,if_dip+0.3,5.26,3.1,36.0,0,5,2,0.52,2.58,,,if_dip,0.3
D关节,mf_mcp-0.3,3.51,3.3,4.2,0,5,2,0.57,1.72,,,mf_mcp,-0.3
D关节,mf_mcp+0.3,27.69,4.93,58.06,0,5,3,1.84,13.58,,,mf_mcp,0.3
D关节,mf_rot-0.3,3.96,2.9,6.52,0,5,2,0.45,1.94,,,mf_rot,-0.3
D关节,mf_rot+0.3,4.0,0.0,4.2,1,5,3,0.51,1.96,,,mf_rot,0.3
D关节,mf_pip-0.3,3.59,3.38,7.34,0,5,3,0.89,1.76,,,mf_pip,-0.3
D关节,mf_pip+0.3,10.52,6.93,35.27,0,5,2,6.29,5.16,,,mf_pip,0.3
D关节,mf_dip-0.3,3.55,2.94,42.57,0,5,2,0.51,1.74,,,mf_dip,-0.3
D关节,mf_dip+0.3,8.03,4.61,28.71,0,5,2,3.62,3.94,,,mf_dip,0.3
D关节,rf_mcp-0.3,4.08,2.94,4.65,0,5,3,0.61,2.0,,,rf_mcp,-0.3
D关节,rf_mcp+0.3,4.16,3.02,43.02,0,5,3,0.74,2.04,,,rf_mcp,0.3
D关节,rf_rot-0.3,4.24,4.0,27.44,0,5,3,1.3,2.08,,,rf_rot,-0.3
D关节,rf_rot+0.3,4.16,2.94,39.63,0,5,3,0.62,2.04,,,rf_rot,0.3
D关节,rf_pip-0.3,4.16,2.94,41.06,0,5,3,0.61,2.04,,,rf_pip,-0.3
D关节,rf_pip+0.3,4.08,3.02,48.6,0,5,3,0.64,2.0,,,rf_pip,0.3
D关节,rf_dip-0.3,4.08,2.94,48.77,0,5,3,0.73,2.0,,,rf_dip,-0.3
D关节,rf_dip+0.3,4.16,2.94,37.88,0,5,3,0.81,2.04,,,rf_dip,0.3
D关节,th_cmc-0.3,3.47,3.06,25.4,0,5,3,0.62,1.7,,,th_cmc,-0.3
D关节,th_cmc+0.3,10.97,6.32,24.22,0,5,3,11.12,5.38,,,th_cmc,0.3
D关节,th_axl-0.3,3.75,3.06,6.65,0,5,3,0.52,1.84,,,th_axl,-0.3
D关节,th_axl+0.3,10.4,4.36,47.3,0,5,2,0.64,5.1,,,th_axl,0.3
D关节,th_mcp-0.3,3.14,2.94,4.28,0,5,3,0.62,1.54,,,th_mcp,-0.3
D关节,th_mcp+0.3,8.93,7.62,11.66,0,5,3,13.11,4.38,,,th_mcp,0.3
D关节,th_ipl-0.3,5.67,3.71,25.44,0,5,3,2.55,2.78,,,th_ipl,-0.3
D关节,th_ipl+0.3,7.26,3.67,25.57,0,5,3,5.24,3.56,,,th_ipl,0.3
